semester_raw,anon_student_id,midterm,score_group,active_days,last3_share,last7_share,concentration_hhi
F22,73,mid1,Q1 lowest,12,0.25878524945770065,0.3175704989154013,0.11286686962700157
F22,75,mid1,Q4 highest,15,0.0,0.09222318589187627,0.15846665698818047
F22,75,mid2,Q1 lowest,10,0.35192743764172335,0.35192743764172335,0.2073154704058494
F22,76,mid2,Q4 highest,11,0.37539936102236426,0.496272630457934,0.160439073130843
F22,77,mid1,Q1 lowest,13,0.19857206604194558,0.35698348951361003,0.12228815106725678
F22,77,mid2,Q1 lowest,10,0.25,0.4274193548387097,0.163678459937565
F22,78,mid1,Q4 highest,14,0.20296553052185634,0.31638744463701135,0.15311302239245836
F22,81,mid2,Q1 lowest,9,0.6254738438210765,0.8078089461713418,0.20977737746736477
F22,82,mid2,Q4 highest,10,0.23920595533498762,0.39950372208436724,0.15664821530826492
F22,83,mid1,Q1 lowest,8,0.32212548784148903,0.42179525667967577,0.18505986312904774
F22,83,mid2,Q1 lowest,12,0.284789644012945,0.5388349514563107,0.14294234222282737
F22,85,mid1,Q1 lowest,10,0.21423905943827565,0.2645329849771391,0.3308514945427847
F22,85,mid2,Q1 lowest,7,0.2387774594078319,0.24259789875835722,0.2689715191172486
F22,86,mid1,Q4 highest,13,0.2603960396039604,0.4024752475247525,0.17387020880305853
F22,87,mid1,Q4 highest,12,0.3343276732446076,0.3343276732446076,0.13706547605633568
F22,87,mid2,Q4 highest,16,0.17020424509411294,0.4169002803364037,0.1282517795884497
F22,88,mid1,Q1 lowest,19,0.07925223802001054,0.2414428646656135,0.08183639791570131
F22,88,mid2,Q1 lowest,12,0.1517423908248787,0.3533303925893251,0.14055465649042115
F22,89,mid1,Q4 highest,20,0.08976343135087332,0.18991819588768516,0.07711473853953721
F22,91,mid1,Q1 lowest,23,0.15756838905775078,0.2854711246200608,0.09140132851692058
F22,91,mid2,Q1 lowest,10,0.37494772061898785,0.5526976160602258,0.21358482011432456
F22,92,mid1,Q4 highest,22,0.09453503746143675,0.19678272366681357,0.10211958718512551
F22,92,mid2,Q4 highest,13,0.1506700470843897,0.37558855487142334,0.1384958995141229
F22,93,mid1,Q1 lowest,14,0.19634340222575516,0.1987281399046105,0.1270018147765272
F22,95,mid2,Q4 highest,22,0.29750000000000004,0.4897222222222223,0.08911867283950616
F22,96,mid1,Q4 highest,12,0.3767241379310345,0.3767241379310345,0.18485619797859695
F22,96,mid2,Q4 highest,9,0.2968679073990014,0.5093054925102134,0.15675669438509654
F22,99,mid2,Q1 lowest,10,0.22924648786717752,0.43805874840357606,0.1551291900523415
F22,100,mid1,Q4 highest,12,0.19732937685459942,0.2529673590504451,0.1446364654967465
F22,100,mid2,Q4 highest,8,0.290437890974084,0.290437890974084,0.21155346636734412
F22,101,mid1,Q4 highest,16,0.2017592083562397,0.3150082462891699,0.095188954415263
F22,103,mid1,Q4 highest,10,0.12886597938144329,0.1944704779756326,0.13983095137502427
F22,103,mid2,Q4 highest,11,0.3579913606911447,0.4454643628509719,0.16781344317508595
F22,104,mid2,Q1 lowest,1,0.0,0.0,1.0
F22,105,mid1,Q4 highest,15,0.22698779280765424,0.33784229627185747,0.11509692922392945
F22,105,mid2,Q4 highest,15,0.28536345776031435,0.3988212180746562,0.10521757674240874
F22,106,mid1,Q4 highest,13,0.24494949494949494,0.3368686868686869,0.13627333945515765
F22,106,mid2,Q4 highest,12,0.35344302254722726,0.5703839122486288,0.12090656809565666
F22,107,mid1,Q4 highest,21,0.38425925925925924,0.47971781305114636,0.11439679895735155
F22,108,mid1,Q4 highest,15,0.2274173027989822,0.30407124681933845,0.09619032819895242
F22,108,mid2,Q4 highest,8,0.47123893805309736,0.47123893805309736,0.18997289442312545
F22,109,mid2,Q1 lowest,11,0.5566502463054187,0.5660098522167487,0.1449178577495207
F22,110,mid1,Q1 lowest,14,0.2552858261550509,0.5452884364395719,0.13413462458950703
F22,110,mid2,Q1 lowest,9,0.6038415366146459,0.6726690676270508,0.20162863064393427
F22,111,mid1,Q1 lowest,14,0.2496641289744738,0.36990595611285265,0.16286821722527514
F22,113,mid1,Q1 lowest,20,0.1533983637507867,0.24197608558842043,0.10699141676115809
F22,113,mid2,Q1 lowest,12,0.37019839594765724,0.4622203461376108,0.12347881680514868
F22,114,mid1,Q1 lowest,4,0.36662286465177396,0.36662286465177396,0.35777842627015766
F22,115,mid1,Q1 lowest,14,0.3187639198218263,0.3694320712694878,0.15464209006899765
F22,115,mid2,Q1 lowest,14,0.3993399339933994,0.4946828016134947,0.13812586490283305
F22,116,mid1,Q4 highest,11,0.11436031331592689,0.19843342036553524,0.13135572537818105
F22,116,mid2,Q4 highest,9,0.25271966527196654,0.35146443514644354,0.15507221512228428
F22,118,mid1,Q1 lowest,14,0.37948131197559115,0.4691075514874142,0.20378525659487493
F22,119,mid1,Q4 highest,15,0.16083916083916083,0.2007992007992008,0.09468403724147981
F22,119,mid2,Q4 highest,13,0.2533814247069432,0.3660955816050496,0.14173159842293684
F22,120,mid1,Q1 lowest,24,0.2040673211781206,0.2570126227208976,0.08271907315355578
