semester_raw,anon_student_id,session_id,midterm,practice_name,practice_direct_items,practice_direct_score_pct
F22,74,9877,mid2,Mid2_Fall22-Practice-Timed | PI-Practice-Mid-2,50,64.0
F22,75,9990,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-2,20,30.0
F22,76,10103,mid1,Practice-PI-Mid1-Fall22,20,90.0
F22,76,10127,mid2,Mid2_Fall22-Practice-Timed,32,76.875
F22,77,10215,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,20,30.0
F22,77,10219,mid1,Practice-PI-Mid1-Fall22,20,85.0
F22,78,10336,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,78,10364,mid2,Mid2_Fall22-Practice-Timed,33,64.64646464646464
F22,79,10510,mid1,Practice-PI-Mid1-Fall22,19,78.94736842105263
F22,79,10566,mid2,Mid2_Fall22-Practice-Timed,31,74.19354838709677
F22,79,10562,mid2,Mid2_Fall22-Practice-Timed1.5,30,50.0
F22,80,10684,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,29,86.20689655172413
F22,80,10682,mid1,Practice-PI-Mid1-Fall22,20,65.0
F22,80,10721,mid2,Mid2_Fall22-Practice-Timed1.5,32,84.375
F22,80,10720,mid2,PI-Practice-Mid-2,16,87.5
F22,81,10822,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-2,25,73.7
F22,81,10830,mid1,Practice-PI-Mid1-Fall22,20,75.0
F22,81,10863,mid2,Mid2_Fall22-Practice-Timed,33,78.78787878787878
F22,81,10871,mid2,Mid2_Fall22-Practice-Timed2,33,90.9090909090909
F22,81,10868,mid2,PI-Practice-Mid-2,16,62.5
F22,82,10919,mid1,Practice-PI-Mid1-Fall22,20,65.0
F22,82,10939,mid2,PI-Practice-Mid-2,16,87.5
F22,83,10993,mid1,Practice-PI-Mid1-Fall22,20,70.0
F22,84,11104,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,84,11147,mid2,PI-Practice-Mid-2,16,75.0
F22,85,11263,mid2,PI-Practice-Mid-2,16,43.75
F22,86,11341,mid1,Practice-PI-Mid1-Fall22,20,50.0
F22,86,11374,mid2,Mid2_Fall22-Practice-Timed,32,60.0
F22,87,11454,mid1,Mid1-Fall22-Practice-Timed,26,88.46153846153845
F22,87,11458,mid1,Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,29,89.65517241379311
F22,87,11452,mid1,Practice-PI-Mid1-Fall22,20,95.0
F22,88,11568,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-2,25,68.0
F22,88,11567,mid1,Practice-PI-Mid1-Fall22,20,65.0
F22,88,11587,mid2,PI-Practice-Mid-2,16,75.0
F22,89,11679,mid1,Mid1-Fall22-Practice-Timed | Mid1-Fall22-Practice-Timed-15 | Mid1-Fall22-Practice-Timed-2,29,89.65517241379311
F22,89,11673,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,89,11739,mid2,Mid2_Fall22-Practice-Timed,30,83.33333333333334
F22,89,11756,mid2,Mid2_Fall22-Practice-Timed1.5,33,90.9090909090909
F22,89,11761,mid2,Mid2_Fall22-Practice-Timed2 | PI-Practice-Mid-2,16,100.0
F22,90,11878,mid1,Mid1-Fall22-Practice-Timed-2,17,94.11764705882352
F22,90,11872,mid1,Practice-PI-Mid1-Fall22,20,65.0
F22,90,11916,mid2,PI-Practice-Mid-2,16,68.75
F22,91,12093,mid1,Mid1-Fall22-Practice-Timed,20,35.0
F22,91,12094,mid1,Practice-PI-Mid1-Fall22,20,80.0
F22,91,12174,mid2,Mid2_Fall22-Practice-Timed | PI-Practice-Mid-2,46,76.08695652173914
F22,92,12304,mid1,Practice-PI-Mid1-Fall22,20,85.0
F22,92,12336,mid2,PI-Practice-Mid-2,16,68.75
F22,93,12504,mid2,Mid2_Fall22-Practice-Timed2 | PI-Practice-Mid-2,16,43.75
F22,95,12652,mid1,Mid1-Fall22-Practice-Timed,24,79.89583333333333
F22,95,12657,mid1,Mid1-Fall22-Practice-Timed-15,26,88.46153846153845
F22,95,12650,mid1,Practice-PI-Mid1-Fall22,20,95.0
